point_id,lat,lng,distance_km,moj_prison_name
4295,53.9889504549,-0.889140738629,1.18391857372,Full Sutton
1891,51.4754290107,-2.60707736322,1.27719341826,Bristol
5104,51.4625651713,-0.159791584154,2.66618273464,Brixton
5170,51.4614140348,-0.087859277128,2.82462768736,Brixton
4379,53.9882217164,-0.812901014186,3.8847978526,Full Sutton
1994,51.4757797361,-2.5350886023,3.89694948738,Bristol
5103,51.417630572,-0.161596775048,4.55724976357,Brixton
1892,51.5203838151,-2.60767514578,4.57848536096,Bristol
5169,51.4164812745,-0.08973493901,4.65172189681,Brixton
4294,53.9440203901,-0.890334681418,4.78556793496,Full Sutton
4296,54.0338801632,-0.887943540503,5.46824157461,Full Sutton
1890,51.4304738544,-2.60648112725,5.68330166846,Bristol
1995,51.5207351022,-2.53561553807,5.87516131524,Bristol
4378,53.9432928448,-0.814176872881,6.04910337377,Full Sutton
4210,53.9896308381,-0.965383718402,6.14098298506,Full Sutton
1790,51.4750340989,-2.67906457756,6.17059403527,Bristol
5105,51.5074993785,-0.157981713817,6.59155029878,Brixton
4380,54.0331502292,-0.811621676956,6.60239782841,Full Sutton
5171,51.5063463994,-0.0859787534326,6.65721612531,Brixton
1993,51.4308240193,-2.53456302985,6.77162536872,Bristol
5036,51.4636721977,-0.231728570613,7.49923590619,Brixton
1791,51.5199882708,-2.67973320161,7.5767760902,Bristol
5233,51.460218795,-0.0159318319058,7.67127843126,Brixton
4209,53.9446996595,-0.966495733344,7.69491190942,Full Sutton
4211,54.0345616628,-0.96426867138,8.13705565619,Full Sutton
1789,51.4300795738,-2.67839768335,8.29125597091,Bristol
5035,51.4187358298,-0.233463274569,8.36053432562,Brixton
5232,51.415287944,-0.0178779482056,8.5151927637,Brixton
2099,51.4760862729,-2.46309847808,8.87362426446,Bristol
4464,53.9874446276,-0.736664768268,8.87590251873,Full Sutton
5102,51.3726955806,-0.163397302449,9.18849935738,Brixton
5168,51.3715481184,-0.091605755649,9.23571933519,Brixton
1893,51.5653382677,-2.60827448022,9.5023067396,Bristol
5037,51.5086081769,-0.22998936966,9.62177447998,Brixton
4293,53.899089969,-0.891525380812,9.71605155045,Full Sutton
5234,51.5051492466,-0.0139806715,9.75646030776,Brixton
2100,51.5210421299,-2.46355456238,9.90315670681,Bristol
4463,53.9425170281,-0.738022530111,10.0140722383,Full Sutton
1996,51.5656901175,-2.53614384181,10.1906243996,Bristol
4465,54.0323718655,-0.735303304759,10.3576854679,Full Sutton
4377,53.8983636141,-0.815449265802,10.39671337,Full Sutton
4297,54.0788095154,-0.886743075039,10.4116122021,Full Sutton
2098,51.4311300661,-2.4626435738,10.4599188531,Bristol
1889,51.3855183462,-2.60588643259,10.6286693749,Bristol
4381,54.0780783832,-0.810338848371,11.0495094829,Full Sutton
4125,53.9902628617,-1.04162973025,11.1365021823,Full Sutton
1691,51.4745950029,-2.75105006208,11.1589084802,Bristol
1992,51.3858679515,-2.53403881606,11.2482711988,Bristol
1792,51.5649420897,-2.68040356142,11.2578346539,Bristol
5106,51.5524331935,-0.156167148012,11.3924773561,Brixton
5172,51.5512783683,-0.0840933512755,11.4305962883,Brixton
4208,53.8997681268,-0.967604727329,11.4329202991,Full Sutton
5034,51.3737990733,-0.235193496856,11.5567525388,Brixton
5231,51.3703566935,-0.0198190375896,11.6691260528,Brixton
1692,51.5195484716,-2.75178952168,11.9938544114,Bristol
4212,54.0794921337,-0.963150581099,12.0296166805,Full Sutton
4124,53.9453306483,-1.04265980622,12.0632366356,Full Sutton
1788,51.3851246954,-2.67773251308,12.2234864258,Bristol
