population,point_id
18941.0,3565
754.0,2848
2715.0,251
485.0,2026
23584.0,3028
3046.0,2409
1107.0,264
712.0,2024
4127.0,5411
4792.0,4295
265.0,4718
230.0,4349
343.0,4466
982.0,3370
28063.0,4323
120849.0,2961
640.0,496
241.0,2265
3046.0,6122
43914.0,4888
1573.0,2311
1240.0,1101
914.0,599
1593.0,3903
8434.0,3323
7557.0,1789
25468.0,2769
1551.0,5116
30981.0,2247
294.0,4083
16488.0,4321
1106.0,1820
1282.0,4059
7718.0,4875
5536.0,3652
3853.0,5161
17883.0,2148
502.0,4996
140.0,2627
1431.0,5729
1129.0,5587
57515.0,5237
24029.0,5028
4164.0,359
278.0,1060
735.0,3322
7862.0,26
365.0,1478
112228.0,1543
1385.0,3367
2390.0,3715
163.0,2485
72078.0,3483
55831.0,2150
3272.0,5565
3993.0,4650
14293.0,3666
2441.0,3911
1356.0,1726
341.0,4722
969.0,2640
5345.0,2206
709.0,1116
11686.0,3781
950.0,1487
2049.0,4057
4378.0,786
238.0,4388
37521.0,3823
319.0,5142
2290.0,3924
1366.0,2755
9404.0,3142
311.0,1009
2784.0,541
1890.0,4198
4515.0,1582
2750.0,5796
6575.0,2452
24545.0,6068
8277.0,3054
2686.0,4845
2290.0,2210
21959.0,4010
624.0,1065
242.0,252
40012.0,5605
1000.0,5080
858.0,537
49221.0,5099
10467.0,4808
520.0,2300
2113.0,4485
2338.0,974
225.0,4475
3145.0,4831
2255.0,6003
13575.0,958
661.0,325
2268.0,17
649.0,3300
1694.0,3859
736.0,142
693.0,5058
2600.0,1999
3649.0,4775
7643.0,1333
40310.0,4055
85332.0,3560
3713.0,1783
1558.0,4035
3131.0,4667
562.0,4986
13729.0,5561
304.0,3124
210.0,914
50634.0,4028
374.0,5684
245.0,3282
250.0,4157
29326.0,5048
1612.0,3510
13250.0,4137
922.0,5329
2996.0,296
733.0,4910
2369.0,3335
618.0,282
3428.0,4105
3429.0,3045
231.0,2816
1910.0,1389
5654.0,1364
442.0,655
2612.0,2019
260974.0,5170
1151.0,167
191.0,2266
3184.0,5656
743.0,4089
1092.0,1275
1051.0,478
9329.0,1982
5951.0,3410
7589.0,4414
403.0,458
17037.0,2038
6379.0,2572
27619.0,3564
4704.0,71
2232.0,1606
455.0,5007
4079.0,2761
1591.0,4355
2584.0,5506
27816.0,5409
227.0,626
155.0,2693
643.0,1264
147.0,3242
3284.0,4728
1113.0,5504
961.0,4145
249.0,823
1413.0,1528
1953.0,4360
3821.0,4056
619.0,280
615.0,1374
1404.0,1981
25287.0,2886
85257.0,3492
1692.0,5347
499.0,2363
369.0,1139
41569.0,4416
408.0,1000
382.0,2270
6907.0,2522
1978.0,2542
16635.0,2230
717.0,211
23329.0,4787
660.0,1963
1479.0,3012
4639.0,15
464.0,5210
2555.0,6118
778.0,1800
149.0,77
508.0,140
85803.0,3926
34090.0,4976
959.0,56
131.0,1966
42297.0,3491
173.0,2373
12323.0,5865
14544.0,6129
46998.0,3384
1225.0,4291
1044.0,2211
2024.0,4449
21965.0,5762
1186.0,2112
705.0,2753
1999.0,6141
2331.0,5224
12397.0,3979
27995.0,3853
1209.0,2339
564.0,712
3957.0,3082
16018.0,923
3280.0,1910
10454.0,4359
1569.0,4189
13401.0,977
1722.0,376
473.0,1427
6619.0,2992
688.0,515
7772.0,2783
1376.0,4453
153944.0,1542
1407.0,1551
235.0,2717
11505.0,1296
1273.0,5256
61493.0,5610
4604.0,4435
937.0,2729
1644.0,165
9612.0,5803
237.0,748
6509.0,5838
2605.0,21
1794.0,4312
216.0,3707
1264.0,3942
1306.0,5270
3367.0,2968
1314.0,1049
7007.0,5770
2476.0,3912
989.0,6058
12811.0,6056
451.0,896
1121.0,609
186.0,429
912.0,4242
1162.0,1242
4103.0,4086
14048.0,3029
250.0,2687
1142.0,1806
352.0,2153
2931.0,3161
207.0,2692
249.0,2587
230.0,530
1234.0,5821
8400.0,5540
2049.0,3812
935.0,6031
588.0,653
36443.0,2677
2139.0,1405
3162.0,3458
1104.0,4837
100635.0,2351
990.0,108
542.0,2506
2428.0,2362
8388.0,3379
3255.0,1089
1149.0,65
423.0,1475
30314.0,1017
66035.0,3249
1390.0,5141
1524.0,1978
717.0,3146
9119.0,3663
53285.0,4487
1283.0,6080
1920.0,3572
702.0,4300
28195.0,5240
362.0,941
90123.0,2353
291.0,603
3421.0,5370
530.0,2625
3440.0,5558
740.0,3910
798.0,4397
7633.0,804
19542.0,3900
1947.0,5827
11843.0,803
1258.0,4347
909.0,1091
1481.0,4233
1430.0,494
1531.0,1018
945.0,68
680.0,2856
54497.0,3496
1641.0,3237
348.0,1233
896.0,4176
1182.0,4584
337.0,1812
424.0,928
34402.0,4027
407.0,5147
562.0,5920
1292.0,4248
28844.0,1733
160.0,3061
15856.0,3759
50500.0,2355
3232.0,5921
6720.0,987
703.0,2686
17861.0,3135
253.0,2262
1032.0,4648
24513.0,3839
1058.0,3122
47810.0,2669
714.0,1432
11106.0,318
1680.0,2047
693.0,312
36097.0,5989
225.0,470
3598.0,5376
16516.0,2562
1254.0,3173
829.0,1213
258.0,4554
1154.0,5378
3085.0,1564
2341.0,5002
41097.0,4813
5206.0,2561
2056.0,2621
170.0,2073
1062.0,99
27540.0,2423
1342.0,1884
483.0,94
375.0,1951
2057.0,2105
1808.0,1762
1872.0,4241
2269.0,1322
2038.0,4274
43838.0,2777
1652.0,1588
725.0,3681
831.0,162
2353.0,6042
1361.0,5931
42376.0,4788
1304.0,5121
337.0,62
90643.0,4963
3452.0,2445
36298.0,5701
15547.0,2528
25314.0,1040
61057.0,5460
1126.0,4530
14641.0,4740
16202.0,4887
787.0,1624
1324.0,6023
8002.0,4643
561.0,1511
11335.0,2685
670.0,4063
214983.0,5038
553.0,3292
969.0,5049
1317.0,2922
1890.0,5943
445.0,988
113.0,2940
74877.0,1937
42392.0,2146
71661.0,5359
1421.0,1492
770.0,5981
945.0,1433
25882.0,5230
414.0,1979
1206.0,2857
12026.0,3004
609.0,3014
221.0,4638
585.0,3293
8146.0,3024
1362.0,2878
1654.0,5620
2079.0,5668
1043.0,4090
260.0,811
5305.0,2313
596.0,4207
3532.0,4672
1101.0,417
1271.0,605
2901.0,1240
19842.0,3505
1870.0,2035
5867.0,4178
1406.0,3228
14502.0,3576
2876.0,2291
17434.0,4232
1426.0,3185
1196.0,6014
4213.0,1438
1927.0,639
430.0,2756
9532.0,1367
3180.0,4543
32602.0,1669
4091.0,5766
6056.0,3881
3669.0,1504
1118.0,4043
1579.0,5547
3252.0,3943
3806.0,3557
973.0,2013
263.0,1313
7280.0,5617
6382.0,4307
375.0,3520
5233.0,968
20366.0,6010
1237.0,3726
713.0,6121
5956.0,4378
2888.0,5325
2912.0,742
2422.0,3437
17172.0,2880
4830.0,788
526.0,5209
44511.0,849
597.0,764
1868.0,5086
423.0,5675
10871.0,5512
124152.0,3559
628.0,4266
1723.0,1905
962.0,6127
399.0,1165
456.0,973
1354.0,3423
7647.0,5396
3481.0,6069
13315.0,4150
8912.0,2404
697.0,1813
12129.0,3009
2462.0,5136
1194.0,5825
1722.0,4004
66898.0,3136
3383.0,5941
1972.0,5599
1798.0,5953
1582.0,3630
43329.0,4956
925.0,521
895.0,715
468.0,5332
9921.0,1823
296.0,2487
550.0,4286
5279.0,4823
1499.0,1234
2447.0,6000
1515.0,4839
2668.0,3424
1775.0,4374
131652.0,1891
2129.0,3222
709.0,3993
327.0,1347
22879.0,4732
358.0,794
686.0,3412
3746.0,2010
82218.0,4824
1443.0,3599
23837.0,4614
427.0,3680
303.0,932
1245.0,84
467.0,5491
29924.0,3291
793.0,3047
1006.0,4343
75741.0,4825
45059.0,5889
295.0,488
31011.0,3138
12347.0,840
12923.0,5896
458.0,4596
6645.0,2667
755.0,5735
1493.0,5856
1557.0,1654
1873.0,5217
2313.0,4540
4981.0,3829
3688.0,5441
1896.0,4915
13689.0,680
12958.0,2464
2233.0,5095
3727.0,2317
4225.0,1643
382.0,115
1895.0,5831
728.0,4637
492.0,1508
1102.0,1035
1125.0,1494
1000.0,4920
4133.0,174
620.0,4940
401.0,2829
9253.0,1675
8601.0,2563
501.0,1566
215.0,5873
13639.0,3649
31330.0,5467
1757.0,5938
1170.0,222
1066.0,92
1292.0,4931
1511.0,4448
9575.0,1255
1759.0,1751
2456.0,1170
980.0,4848
1989.0,44
14422.0,5109
894.0,814
704.0,3774
279.0,2383
1115.0,1685
3754.0,4216
2519.0,4077
1331.0,5802
17424.0,2253
1091.0,4508
699.0,1601
3587.0,3731
13858.0,619
1362.0,206
1548.0,111
1890.0,562
36868.0,3568
11941.0,2131
208.0,5087
1008.0,1297
662.0,1886
11598.0,3843
1505.0,1617
4793.0,5753
22059.0,981
271.0,5328
7006.0,975
1469.0,4908
2441.0,3584
9745.0,4187
2876.0,4329
1581.0,668
5422.0,4050
3260.0,4039
4454.0,1277
1778.0,4326
628.0,1521
13454.0,5045
3480.0,124
323.0,1121
4862.0,229
1445.0,5834
582.0,415
1567.0,5898
1103.0,5052
1130.0,3442
277.0,3865
2199.0,4040
4642.0,1016
6772.0,4240
1012.0,4645
480.0,166
11802.0,3602
31362.0,2892
1758.0,1218
716.0,2909
1023.0,746
6091.0,1444
1708.0,2309
743.0,388
296.0,884
704.0,2820
38645.0,3497
670.0,4277
3720.0,6073
3144.0,4592
654.0,4440
1957.0,3415
689.0,4755
2027.0,3783
8172.0,3765
2478.0,147
12939.0,3245
2023.0,1849
75280.0,5413
5592.0,716
1390.0,1436
14512.0,5962
2665.0,5455
9494.0,1360
1469.0,3469
1421.0,4177
86028.0,2657
6326.0,5758
1165.0,657
57406.0,4493
10545.0,963
476.0,5624
11694.0,3498
3416.0,3574
206.0,592
259.0,2163
8465.0,448
632.0,2514
750.0,4629
30604.0,3747
6359.0,3527
1213.0,3951
714.0,3238
6375.0,1027
3431.0,4278
340.0,436
3096.0,1030
611.0,2970
598.0,420
2088.0,4710
657.0,6140
20879.0,4886
1171.0,183
358.0,711
8210.0,2663
75919.0,4889
22950.0,3548
1701.0,283
61483.0,3692
148.0,2923
1023.0,548
228.0,1195
10200.0,3389
19108.0,3751
882.0,1434
2494.0,4247
8279.0,5290
7284.0,681
2096.0,2334
3832.0,601
2909.0,5842
132224.0,4891
2319.0,4807
1777.0,3674
11290.0,4255
369.0,1191
138.0,2956
1217.0,5900
3870.0,5553
29468.0,3141
7301.0,4481
